Date,Opponent,Team,Score
Unknown,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,Barcelona United Barcelona United Elite II 18B,20256-00
Unknown,0 - 4,Barcelona United Barcelona United Elite II 18B,20252-30
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Grove City Kids Association GCKA 2018B,Unknown
Unknown,LFC United LFC United 2018 B Elite,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Grove City Kids Association GCKA 2018B,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Grove City Kids Association GCKA 2018B,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Grove City Kids Association GCKA 2018B,20256-30
Unknown,5 - 2,Grove City Kids Association GCKA 2018B,20255-00
Unknown,6 - 1,Grove City Kids Association GCKA 2018B,202511-45
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Grove City Kids Association GCKA 2018B,20251-30
Unknown,1 - 2,Grove City Kids Association GCKA 2018B,20252-15
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Grove City Kids Association GCKA 2018B,202512-00
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Grove City Kids Association GCKA 2018B,202511-20
Unknown,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black,Grove City Kids Association GCKA 2018B,20253-20
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Club Ohio West 18B Academy,Unknown
Unknown,Elite FC Elite FC 2018 Boys Liverpool,Club Ohio West 18B Academy,Unknown
Unknown,LFC United LFC United 2018 B Elite,Club Ohio West 18B Academy,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,Unknown
Unknown,Northwest FC Northwest FC 2018B Academy Blue,Club Ohio West 18B Academy,Unknown
Unknown,Dublin United Soccer Club DUSC Sharks 2018 Boys,Club Ohio West 18B Academy,Unknown
Unknown,Grove City Kids Association GCKA 2018B,Club Ohio West 18B Academy,Unknown
Unknown,Elite FC Elite FC 2018 Boys Tottenham,Club Ohio West 18B Academy,Unknown
Unknown,Club Oranje Club Oranje Raptors 2018 BU08 Navy,Club Ohio West 18B Academy,Unknown
Unknown,LFC United LFC United 2018 B Elite 2,Club Ohio West 18B Academy,Unknown
Unknown,Worthington United WSP Hawkeyes Blue SC 2018 Boys,Club Ohio West 18B Academy,Unknown
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20256-00
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20254-00
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20256-40
Unknown,LFC United LFC United 2018 B Elite,Club Ohio West 18B Academy,20256-00
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Club Ohio West 18B Academy,20252-00
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20252-00
Unknown,Blast FC Soccer Academy Blast FC 2018B,Club Ohio West 18B Academy,20256-00
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20256-00
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20255-30
Unknown,Club Ohio Club Ohio West 18B Academy II,Club Ohio West 18B Academy,20255-50
Unknown,Blast FC Soccer Academy Blast FC 2018B,Sporting Columbus Sporting Columbus Boys 2018 I,Unknown
Unknown,Polaris Soccer Club Polaris SC 18B Navy,Sporting Columbus Sporting Columbus Boys 2018 I,Unknown
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,Unknown
Unknown,Delaware Knights Delaware Knights 2018 BU08,Sporting Columbus Sporting Columbus Boys 2018 I,Unknown
Unknown,Columbus Force SC CE 2018B Net Ninjas,Sporting Columbus Sporting Columbus Boys 2018 I,Unknown
Unknown,Johnstown FC Johnstown FC 2018 Boys,Sporting Columbus Sporting Columbus Boys 2018 I,Unknown
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,202511-45
Unknown,Blast FC Soccer Academy Blast FC 2018B,Sporting Columbus Sporting Columbus Boys 2018 I,202511-45
Unknown,Upper Arlington United UAU 2018 BU U8 BLACK,Sporting Columbus Sporting Columbus Boys 2018 I,20253-20
Unknown,Polaris Soccer Club Polaris SC 18B Navy,Sporting Columbus Sporting Columbus Boys 2018 I,202511-45
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,202511-30
Unknown,Sporting Columbus Sporting Columbus Boys 2018 II,Sporting Columbus Sporting Columbus Boys 2018 I,20253-45
