Rank,Team,GP,W,D,L,GF,GA,GD,Pts,PPG,StrengthIndex
72,Cincinnati West CWSC B17 Academy Elite,7.0,1.0,2.0,4.0,12.0,30.0,-18.0,5.0,0.7142857142857143,24.0
73,FC Dayton FC Dayton B17 Elite,7.0,1.0,2.0,4.0,10.0,36.0,-26.0,5.0,0.7142857142857143,20.5
74,Cincinnati United CUSM 17B Cagliari,7.0,1.0,2.0,4.0,18.0,28.0,-10.0,5.0,0.7142857142857143,16.7
75,Kings Hammer Soccer Club KHJR NKY B17-3,7.0,1.0,2.0,4.0,26.0,36.0,-10.0,5.0,0.7142857142857143,16.7
76,Club Ohio Club Ohio East 19B Academy,6.0,1.0,1.0,4.0,3.0,4.5,-1.5,4.0,0.67,26.1
77,Cincinnati United CUSM 17B Dinamo Zagreb,6.0,1.0,1.0,4.0,13.0,26.0,-13.0,4.0,0.6666666666666666,24.1
78,Fairfield Optimist Soccer Club FOSC B17 Red,6.0,1.0,1.0,4.0,11.0,30.0,-19.0,4.0,0.6666666666666666,21.1
79,Cincy SC Cincy SC B17 Elite,7.0,0.0,4.0,3.0,18.0,25.0,-7.0,4.0,0.5714285714285714,13.3
80,Cincinnati United CUSE 17B Granada,8.0,1.0,1.0,6.0,8.0,27.0,-19.0,4.0,0.5,19.5
81,FC Storm FC Storm B17 Loveland Blue,6.0,1.0,0.0,5.0,7.0,26.0,-19.0,3.0,0.5,17.2
82,Cincinnati United CULM 17B Bournemouth,6.0,0.0,3.0,3.0,9.0,29.0,-20.0,3.0,0.5,16.7
83,Barcelona United Barcelona United Elite 18B,6.0,1.0,0.0,5.0,1.67,6.17,-4.5,3.0,0.5,13.2
84,Club Ohio Club Ohio West 19B Academy,7.0,1.0,0.0,6.0,1.57,3.43,-1.86,3.0,0.43,19.5
85,Lakota Futbol Club LFC B18 Red,7.0,1.0,0.0,6.0,15.0,34.0,-19.0,3.0,0.4285714285714285,16.9
86,Mercury Mercury B17 West,7.0,1.0,0.0,6.0,14.0,37.0,-23.0,3.0,0.4285714285714285,15.1
87,Kolping SC Kolping SC B17/18 Orange B,7.0,1.0,0.0,6.0,10.0,40.0,-30.0,3.0,0.4285714285714285,12.1
88,Oak Hills Youth Athletics Oak Hills Premier Boys 2018,8.0,1.0,0.0,7.0,11.0,54.0,-43.0,3.0,0.375,8.8
89,FC Dayton FC Dayton B17 Navy,7.0,0.0,2.0,5.0,4.0,56.0,-52.0,2.0,0.2857142857142857,6.7
90,Mercury Mercury B17 Red,8.0,0.0,2.0,6.0,8.0,40.0,-32.0,2.0,0.25,8.8
91,Kings Hammer Soccer Club KHJR CINCY B17-1,8.0,0.0,2.0,6.0,8.0,58.0,-50.0,2.0,0.25,5.8
92,Eclipse FC Eclipse FC Beasts,6.0,0.0,1.0,5.0,8.0,25.0,-17.0,1.0,0.1666666666666666,10.4
93,Warrior White B17/18,8.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.13,18.0
94,Worthington United Worthington United 94 2018 Boys White,7.0,0.0,0.0,7.0,1.14,3.43,-2.29,0.0,0.0,8.1
95,FC Storm FC Storm B17 Loveland Black,6.0,0.0,0.0,6.0,4.0,42.0,-38.0,0.0,0.0,0.0
