DSX_Opponent,Opponent_of_Opponent
Dublin United Soccer Club DUSC Sharks 2018 Boys,Old Town Soccer Club OTSC 2018 Boys
Dublin United Soccer Club DUSC Sharks 2018 Boys,Granville United FC Granville United FC 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Blast FC Soccer Academy Blast FC 2018B
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Polaris Soccer Club Polaris SC 18B Navy
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Sporting Columbus Sporting Columbus Boys 2018 II
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Delaware Knights Delaware Knights 2018 BU08
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Columbus Force SC CE 2018B Net Ninjas
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Johnstown FC Johnstown FC 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Upper Arlington United UAU 2018 BU U8 BLACK
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Elite FC Elite FC 2018 Boys Liverpool
Club Oranje Club Oranje Raptors 2018 BU08 Navy,LFC United LFC United 2018 B Elite
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Club Ohio Club Ohio West 18B Academy II
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Northwest FC Northwest FC 2018B Academy Blue
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Dublin United Soccer Club DUSC Sharks 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Grove City Kids Association GCKA 2018B
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Elite FC Elite FC 2018 Boys Tottenham
Club Oranje Club Oranje Raptors 2018 BU08 Navy,LFC United LFC United 2018 B Elite 2
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Worthington United WSP Hawkeyes Blue SC 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Zanesville Arsenal SC Zanesville Arsenal SC 2018B
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Pride Soccer Club Pride SC 2019/2018 Boys Copa
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U8B Black
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Barcelona United Barcelona United Elite II 18B
Club Oranje Club Oranje Raptors 2018 BU08 Navy,NASA Xtabi NASA Xtabi 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Dublin United Soccer Club DUSC Nets 2016 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Old Town Soccer Club OTSC 2018 Boys
Club Oranje Club Oranje Raptors 2018 BU08 Navy,Granville United FC Granville United FC 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Blast FC Soccer Academy Blast FC 2018B
Upper Arlington United UAU 2018 BU U8 BLACK,Polaris Soccer Club Polaris SC 18B Navy
Upper Arlington United UAU 2018 BU U8 BLACK,Sporting Columbus Sporting Columbus Boys 2018 II
Upper Arlington United UAU 2018 BU U8 BLACK,Delaware Knights Delaware Knights 2018 BU08
Upper Arlington United UAU 2018 BU U8 BLACK,Columbus Force SC CE 2018B Net Ninjas
Upper Arlington United UAU 2018 BU U8 BLACK,Johnstown FC Johnstown FC 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Elite FC Elite FC 2018 Boys Liverpool
Upper Arlington United UAU 2018 BU U8 BLACK,LFC United LFC United 2018 B Elite
Upper Arlington United UAU 2018 BU U8 BLACK,Club Ohio Club Ohio West 18B Academy II
Upper Arlington United UAU 2018 BU U8 BLACK,Northwest FC Northwest FC 2018B Academy Blue
Upper Arlington United UAU 2018 BU U8 BLACK,Dublin United Soccer Club DUSC Sharks 2018 Boys
Upper Arlington United UAU 2018 BU U8 BLACK,Grove City Kids Association GCKA 2018B
Upper Arlington United UAU 2018 BU U8 BLACK,Elite FC Elite FC 2018 Boys Tottenham
