Rank,Team,GP,W,L,D,GF,GA,GD,Pts,PPG,StrengthIndex,SourceURL,Division,League,last_updated
5,Lawrenceburg Greendale Soccer Club LGSC B17 Tiger Fury,7,4,3,0,30,21,9,12,1.7142857142857142,58.9,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
3,Little Miami FC Little Miami FC 2017 Boys,8,4,3,1,32,32,0,13,1.625,52.9,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
7,Little Miami FC Little Miami FC 2018 Boys,8,3,5,0,25,48,-23,9,1.125,32.6,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
3,Lord's Gym Price Hill F.C. B17/18,6,5,1,0,26,10,16,15,2.5,81.3,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
5,Madeira FC Madeira FC B2017 Blue,8,2,6,0,26,31,-5,6,0.75,30.6,https://system.gotsport.com/org_event/events/43740/results?group=380751,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
2,Madeira FC Madeira FC B2017 Orange,8,4,2,2,28,31,-3,14,1.75,54.7,https://system.gotsport.com/org_event/events/43740/results?group=380748,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
9,Mercury Mercury B17 Red,8,0,6,2,8,40,-32,2,0.25,8.8,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
4,Mercury Mercury B17 West,7,1,6,0,14,37,-23,3,0.42857142857142855,15.1,https://system.gotsport.com/org_event/events/43740/results?group=380752,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
6,Mercury Mercury B18 Red,7,3,2,2,27,14,13,11,1.5714285714285714,57.2,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
1,NKY Gunners Athletic Club NKY Gunners Athletic Club B17,8,8,0,0,44,4,40,24,3.0,100.0,https://system.gotsport.com/org_event/events/43740/results?group=380750,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
2,Oak Hills Youth Athletics Oak Hills Premier Boys 2017,6,5,0,1,30,11,19,16,2.6666666666666665,86.7,https://system.gotsport.com/org_event/events/43740/results?group=380754,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
10,Oak Hills Youth Athletics Oak Hills Premier Boys 2018,8,1,7,0,11,54,-43,3,0.375,8.8,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
8,On Goal Passion FC Passion FC 2017B Blue,7,1,5,1,15,38,-23,4,0.5714285714285714,18.5,https://system.gotsport.com/org_event/events/43740/results?group=406317,CPL U9,CPL Fall 2025,2025-10-30 16:51:55
3,On Goal Passion FC Passion FC 2017B Gray,8,4,2,2,40,26,14,14,1.75,61.1,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
1,STAR Rush Cincinnati STAR Rush B2017 Blue,8,8,0,0,44,8,36,24,3.0,98.5,https://system.gotsport.com/org_event/events/43740/results?group=380749,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
5,STAR Rush Cincinnati STAR Rush B2017 White,6,2,3,1,16,29,-13,7,1.1666666666666667,35.7,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
4,Total Futbol Academy(OH) TFA B17 Elite,6,4,2,0,20,19,1,12,2.0,62.2,https://system.gotsport.com/org_event/events/43740/results?group=380753,CPL U9,CPL Fall 2025,2025-10-30 16:51:52
3,Total Futbol Academy(OH) TFA B17 Premier,8,6,2,0,40,24,16,18,2.25,73.5,https://system.gotsport.com/org_event/events/43740/results?group=380746,CPL U9,CPL Fall 2025,2025-10-30 16:51:53
8,Total Ginga Academy Total Ginga Academy 2017/18 (KY),5,0,3,2,7,14,-7,2,0.4,20.1,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
9,Total Ginga Academy Total Ginga Academy 2017/18 (OH),6,0,5,1,10,29,-19,1,0.16666666666666666,9.4,https://system.gotsport.com/org_event/events/43740/results?group=380747,CPL U9,CPL Fall 2025,2025-10-30 16:51:54
