Discovered_Team,Matched_Known_Team,EventID,GroupID,SourceURL,Division,Current_GP,Has_Game_Data
Columbus Force SC CE 2015G Mighty Tornadoes,Columbus Force SC CE 2018B Net Ninjas,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
Columbus Force SC CE 2015G Thunder,Columbus Force SC CE 2018B Net Ninjas,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
Dublin United Soccer Club DUSC Spicy Bananas 2015 Girls,Dublin United Soccer Club DUSC Sharks 2018 Boys,45535,418581,https://system.gotsport.com/org_event/events/45535/results?group=418581,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,418582,https://system.gotsport.com/org_event/events/45535/results?group=418582,Schedule,0,False
Polaris Soccer Club Polaris SC 14G Navy,Polaris Soccer Club Polaris SC 18B Navy,45535,418582,https://system.gotsport.com/org_event/events/45535/results?group=418582,Schedule,0,False
Columbus Force SC CE 2014G Lions,Columbus Force SC CE 2018B Net Ninjas,45535,418583,https://system.gotsport.com/org_event/events/45535/results?group=418583,Schedule,0,False
NASA Xtabi NASA Xtabi 2014 Girls,NASA Xtabi NASA Xtabi 2018 Boys,45535,418583,https://system.gotsport.com/org_event/events/45535/results?group=418583,Schedule,0,False
Pride Soccer Club PRIDE SC 2014G Copa,Pride Soccer Club Pride SC 2019/2018 Boys Copa,45535,418583,https://system.gotsport.com/org_event/events/45535/results?group=418583,Schedule,0,False
Columbus Force SC Columbus Force 14G Blue,Columbus Force SC CE 2018B Net Ninjas,45535,418584,https://system.gotsport.com/org_event/events/45535/results?group=418584,Schedule,0,False
Delaware Knights Delaware Knights 2014 GU12,Delaware Knights Delaware Knights 2018 BU08,45535,418584,https://system.gotsport.com/org_event/events/45535/results?group=418584,Schedule,0,False
Lancaster Select Soccer Association,Lancaster Select Soccer Association (LSSA) LSSA 2018 Boys,45535,417567,https://system.gotsport.com/org_event/events/45535/results?group=417567,Schedule,0,False
Polaris Soccer Club Polaris SC 14G Gray,Polaris Soccer Club Polaris SC 18B Navy,45535,417567,https://system.gotsport.com/org_event/events/45535/results?group=417567,Schedule,0,False
Zanesville Arsenal SC Zanesville Arsenal SC 2014G,Zanesville Arsenal SC Zanesville Arsenal SC 2018B,45535,417567,https://system.gotsport.com/org_event/events/45535/results?group=417567,Schedule,0,False
